,date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
149,21/05/2018,גלעד ארדן,על רישוי הפגנות,ליכוד,גל״צ,half true,חוק ומשפט,רישוי הפגנות,https://www.thewhistle.co.il/feed/O10Y9150wq,הכנסת ה-20,male,"""יש כרגע החלטה משפטית שהביאה לכך שלא צריך בכלל לבקש רישיון מראש על הפגנות"""
150,03/07/2019,גלעד ארדן,על השיפור ביחס המשטרה ליוצאי אתיופיה:,ליכוד,כאן ב׳,mostly true,חוק ומשפט,שיטור יתר,https://www.thewhistle.co.il/feed/kDy83MmWwa,מע׳ בחירות,male,"""בשנים האחרונות עשינו המון פעולות שהובילו בשנה האחרונה לירידה של 21% במעצרים בקרב בני הקהילה"""
151,30/07/2018,דב חנין,על סעיף 7ב בהצעת חוק הלאום,הרשימה המשותפת,103FM,mostly untrue,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/QrxOM7nW9B,הכנסת ה-20,male,"""הסעיף הזה הוא העתקה של חוק האזורים הנפרדים שחוקק בדרום אפריקה ב-1950, שאמר שכל קהילה יכולה לחיות בנפרד. הוא לא דיבר על העדפה לאף אחד [...] החוק עורר כל כך הרבה ביקורת שביהמ""ש של האפרטהייד ביטל אותו ב-1957"""
152,06/08/2017,דוד אמסלם,על חקירות רה״מ לדורותיהם,ליכוד,גלי ישראל,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/7nya1dRy9A,הכנסת ה-20,male,"״מה שקורה ב-20 שנה האחרונות - אני חוזר על זה כל פעם אבל כנראה שזה לא מחלחל מספיק - כל ראשי הממשלה מועמדים לדין באופן כמעט גורף ושיטתי"""
153,13/08/2017,דוד אמסלם,על ההפגנות בפ״ת,ליכוד,ערוץ הכנסת,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/Jm0AKYRyaM,הכנסת ה-20,male,"""הפגנה בלי רישיון היא לא חוקית"""
154,19/09/2017,דוד אמסלם,על סמכותה של המשטרה להמליץ על העמדה לדין,ליכוד,103FM,half true,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/QXx462pW78,הכנסת ה-20,male,"אמסלם: ""המשטרה, אין לה סמכות כזו [להמליץ על העמדה לדין של נחקרים]..."" מראיין: ""אבל זה סיכום החקירה, מה זה אין סמכות""אמסלם: ""אדוני, אין דבר כזה. המשטרה צריכה לחקור ולהעביר את הממצאים"" "
155,16/10/2017,דוד אמסלם,על היוזמה לאסור חקירות נגד ראש ממשלה מכהן,ליכוד,ערוץ 2,half true,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/3wW6KmGyD2,הכנסת ה-20,male,"""גם בחוק בצרפת אי אפשר לחקור את הנשיא, באיטליה אי אפשר לחקור"""
156,09/11/2017,דוד אמסלם,על שכרו בעיריית ירושלים,ליכוד,103FM,mostly untrue,"כנסת, ממשלה ומנהל ציבורי",שכר בעיריית ירושלים,https://www.thewhistle.co.il/feed/O4Wk2bm0jb,הכנסת ה-20,male,"""עזבתי את העירייה אחרי 14 שנה עם שכר של 20 אלף שקל"""
157,09/11/2017,דוד אמסלם,על עדכון שכרו בכנסת,ליכוד,103FM,TRUE,"כנסת, ממשלה ומנהל ציבורי","שכר הח""כים והשרים",https://www.thewhistle.co.il/feed/rVxwgnmxmA,הכנסת ה-20,male,"""אני וביטן מוותרים גם היום בכנסת על התוספת שלנו. אני חושב שזה רק אני והוא כמעט, כבר מאז תחילת הכנסת"""
158,21/11/2017,דוד אמסלם,"על חוק המלצות המשטרה, שימנע מהמשטרה לכתוב",ליכוד,ועדה בכנסת,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/2GWMp6n0nv,הכנסת ה-20,male,"""אם פער הזמנים היה שבוע-שבועיים לא הייתי מגיש את ההצעת חוק הזאת. אבל יש פה משהו מבני עקום, שהרבה פעמים אנשים מקבלים את ההחלטות של הפרקליטות אחרי שלוש-ארבע-חמש שנים מהרגע שהמשטרה [מעבירה את התיק לפרקליטות]"""
